Business Name,City,Region,Website,Emails,Events Count,Total Visits,City Slug (for sponsor targeting)
Ullastrell,Ullastrell,Vallès Occidental,https://www.ullastrell.cat,,18,476,ullastrell
Balenyà,Balenyà,Osona,https://www.balenya.cat,,9,447,balenya
Montgat,Montgat,Maresme,https://www.montgat.cat,montgat@montgat.cat,21,436,montgat
Montcada i Reixac,Montcada i Reixac,Vallès Occidental,https://www.montcada.cat,oac@montcada.org; promocioeconomica@montcada.org,33,409,montcada-i-reixac
Sant Quirze del Vallès,Sant Quirze del Vallès,Vallès Occidental,https://www.ajsantquirze.cat,,25,388,sant-quirze-del-valles
Gurb,Gurb,Osona,https://www.gurb.cat,,28,385,gurb
Biblioteca Can Manyer,Vilassar de Dalt,Maresme,https://www.vilassardedalt.cat,oac@vilassardedalt.cat; oac360@vilassardedalt.cat,18,379,vilassar-de-dalt
Castellbisbal,Castellbisbal,Vallès Occidental,https://www.castellbisbal.cat,,40,375,castellbisbal
Torrelavit,Torrelavit,Alt Penedès,https://www.torrelavit.cat,,25,361,torrelavit
Col·legi de l'Arquitectura Tècnica de Barcelona,Mataró,Maresme,https://www.culturamataro.cat,cultura@ajmataro.cat,33,338,mataro
Caldes de Montbui,Caldes de Montbui,Vallès Oriental,https://www.caldesdemontbui.cat,,24,332,caldes-de-montbui
Parets del Vallès,Parets del Vallès,Vallès Oriental,https://www.parets.cat,,29,331,parets-del-valles
Sant Bartomeu del Grau,Sant Bartomeu del Grau,Osona,https://www.sbg.cat,,18,325,sant-bartomeu-del-grau
Circuit de Barcelona,Granollers,Vallès Oriental,https://www.visitgranollers.com,turisme@granollers.cat,8,310,granollers
Fogars de la Selva,Fogars de la Selva,La Selva,https://www.fogarsdelaselva.cat,fds.ajuntament@fogarsdelaselva.cat,25,302,fogars-de-la-selva
Sant Pere de Riudebitlles,Sant Pere de Riudebitlles,Alt Penedès,https://www.santperederiudebitlles.cat,,23,298,sant-pere-de-riudebitlles
Dosrius,Dosrius,Maresme,https://www.dosrius.cat,,14,297,dosrius
Torrelles de Llobregat,Torrelles de Llobregat,Baix Llobregat,https://www.torrelles.cat,,20,285,torrelles-de-llobregat
Cervelló,Cervelló,Baix Llobregat,https://www.cervello.cat,,23,283,cervello
Arenys de Mar,Arenys de Mar,Maresme,http://arenysdemar.cat,,39,277,arenys-de-mar
Santpedor,Santpedor,Bages,https://www.santpedor.cat,,21,276,santpedor
Calella,Calella,Maresme,https://www.calella.cat,,12,270,calella
CaixaForum Girona,Girona,Gironès,https://surtdecasa.cat,info@surtdecasa.cat; agenda@surtdecasa.cat; cori.asens@surtdecasa.cat,17,268,girona
Santa Maria de Palautordera,Santa Maria de Palautordera,Vallès Oriental,https://www.smpalautordera.cat,,12,259,santa-maria-de-palautordera
"El Pont de Vilomara i Rocafort, Bages",El Pont de Vilomara i Rocafort,Bages,https://www.elpont.cat,,7,257,el-pont-de-vilomara-i-rocafort
Amer,Amer,La Selva,https://amer.cat,amer@amer.cat,8,255,amer
Cardedeu,Cardedeu,Vallès Oriental,https://www.culturacardedeu.com,hola@culturacardedeu.com,24,254,cardedeu
Olesa de Bonesvalls,Olesa de Bonesvalls,Alt Penedès,https://www.olesadebonesvalls.cat,bonesvalls@olesadebonesvalls.cat,5,245,olesa-de-bonesvalls
Pista La Petanca de Premià de Dalt,Premià de Dalt,Maresme,https://www.premiadedalt.cat,prmd.oac@premiadedalt.cat; oac@premiadedalt.cat; ajuntamentpremiadedalt2@ajpremiadedalt.onmicrosoft.com; prmd.policialocal@premiadedalt.cat; prmd.ocupacio@premiadedalt.cat; prmd.serveissocials@premiadedalt.cat,10,238,premia-de-dalt
Martorelles,Martorelles,Vallès Oriental,https://www.martorelles.cat,mar.elscirerers@martorelles.cat,26,237,martorelles
Sant Julià de Vilatorta,Sant Julià de Vilatorta,Osona,https://www.vilatorta.cat,,13,230,sant-julia-de-vilatorta
Castellví de Rosanes,Castellví de Rosanes,Baix Llobregat,https://www.castellviderosanes.cat,info@castellviderosanes.cat,9,223,castellvi-de-rosanes
Llinars del Vallès,Llinars del Vallès,Vallès Oriental,https://www.llinarsdelvalles.cat,,10,219,llinars-del-valles
Canet de Mar,Canet de Mar,Maresme,http://www.canetdemar.cat,,31,217,canet-de-mar
"Sant Agustí de Lluçanès, Osona",Sant Agustí de Lluçanès,Osona,https://santagustidellucanes.cat,,5,207,sant-agusti-de-llucanes
Espai Montseny i Can Sià,Viladrau,Osona,https://www.viladrau.cat,ajuntament@viladrau.cat,17,206,viladrau
Navarcles,Navarcles,Bages,https://www.navarcles.cat,navarcles@navarcles.cat,24,200,navarcles
Montseny,Montseny,Vallès Oriental,https://www.montseny.cat,,11,197,montseny
La Garriga,La Garriga,Vallès Oriental,http://www.lagarriga.cat,contractacio@ajlagarriga.cat; oac@ajlagarriga.cat,24,191,la-garriga
Sant Esteve Sesrovires,Sant Esteve Sesrovires,Baix Llobregat,https://www.sesrovires.cat,,27,190,sant-esteve-sesrovires
Oficines de l’Ajuntament - 2a planta,L'Esquirol,Osona,https://www.lesquirol.cat,lesquirol@diba.cat; miquelvilella@lesquirol.cat; joventut@lesquirol.cat; cultura@lesquirol.cat,4,188,l-esquirol
Polinyà,Polinyà,Vallès Occidental,https://www.polinya.cat,polinya@ajpolinya.cat,19,184,polinya
Santa Coloma de Cervelló,Santa Coloma de Cervelló,Baix Llobregat,https://www.santacolomadecervello.cat,,26,178,santa-coloma-de-cervello
Sant Feliu de Codines,Sant Feliu de Codines,Vallès Oriental,https://www.santfeliudecodines.cat,,13,177,sant-feliu-de-codines
Capellades,Capellades,Anoia,https://www.capellades.cat,,12,175,capellades
Alella,Alella,Maresme,http://alella.cat,alella.ajuntament@alella.cat; ajuntament@alella.cat; policialocal@alella.cat; orgt.alella@diba.cat; b.alella.fg@diba.es; canmanye@alella.cat; canlleonart@alella.cat; info@adana.cat; alella@ufec.cat; a8000049@xtec.cat; a8061063@xtec.cat; alellajove@alella.cat; iesalella@xtec.cat; elspinyons@suara.coop; alella.esports@alella.cat; alella.ssocials@alella.cat; aulaacollida@suara.coop; recepcion@funerariabadalona.com; agentgranalella@gmail.com; catteia@turismecat.cat; enoturisme@doalella.cat; alella.ofturisme@alella.cat,27,174,alella
La Llagosta,La Llagosta,Vallès Oriental,https://www.llagosta.cat,igualtat@llagosta.cat; llagosta@llagosta.cat; oac@llagosta.cat,11,173,la-llagosta
Bigues i Riells,Bigues i Riells,Vallès Oriental,https://www.biguesiriells.cat,,24,171,bigues-i-riells
Sant Iscle de Vallalta,Sant Iscle de Vallalta,Maresme,https://www.santiscle.cat,,11,164,sant-iscle-de-vallalta
El Bruc,El Bruc,Anoia,https://www.bruc.cat,,13,164,el-bruc
Cerdanyola del Vallès,Cerdanyola del Vallès,Barcelonès,https://www.cerdanyola.cat,oac@cerdanyola.cat,11,162,cerdanyola-del-valles
Begues,Begues,Baix Llobregat,https://www.begues.cat,,24,158,begues
Monistrol de Montserrat,Monistrol de Montserrat,Bages,https://www.monistroldemontserrat.cat,,5,147,monistrol-de-montserrat
Caldes d'Estrac,Caldes d'Estrac,Maresme,http://caldetes.cat,,14,147,caldes-d-estrac
Sant Vicenç de Montalt,Sant Vicenç de Montalt,Maresme,http://www.svmontalt.cat,oficines@svmontalt.cat,19,144,sant-vicenc-de-montalt
Santa Perpètua de Mogoda,Santa Perpètua de Mogoda,Vallès Occidental,https://www.staperpetua.cat,oac@staperpetua.cat,7,144,santa-perpetua-de-mogoda
L'Ametlla del Vallès,L'Ametlla del Vallès,Vallès Oriental,https://www.ametlla.cat,,23,131,l-ametlla-del-valles
Riudellots de la Selva,Riudellots de la Selva,La Selva,https://www.riudellots.cat,ajuntament@riudellots.cat; biblioteca@riudellots.cat; casa.cultura@riudellots.cat; vigilants@riudellots.cat,8,128,riudellots-de-la-selva
Inici a la Plaça St. Jordi,La Roca del Vallès,Vallès Oriental,http://www.laroca.cat,,9,127,la-roca-del-valles
Sant Antoni de Vilamajor,Sant Antoni de Vilamajor,Vallès Oriental,https://www.santantonidevilamajor.cat,ajuntament@savilamajor.cat,6,124,sant-antoni-de-vilamajor
Sant Pere de Vilamajor,Sant Pere de Vilamajor,Vallès Oriental,https://www.vilamajor.cat,,5,115,sant-pere-de-vilamajor
Sant Pol de Mar,Sant Pol de Mar,Maresme,http://www.santpol.cat,,12,113,sant-pol-de-mar
Montesquiu,Montesquiu,Osona,https://www.montesquiu.cat,,14,113,montesquiu
Olvan,Olvan,Berguedà,https://www.olvan.cat,,23,91,olvan
Castellgalí,Castellgalí,Bages,https://www.castellgali.cat,,3,90,castellgali
Argentona,Argentona,Maresme,http://argentona.cat,,10,88,argentona
Sant Salvador de Guardiola,Sant Salvador de Guardiola,Bages,https://www.santsalvadordeguardiola.cat,,4,77,sant-salvador-de-guardiola
Escola del Mar,Vilassar de Mar,Maresme,https://www.vilassardemar.cat,,9,75,vilassar-de-mar
Vallgorguina,Vallgorguina,Vallès Oriental,https://www.vallgorguina.cat,,7,75,vallgorguina
Calldetenes,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes@calldetenes.cat,10,65,calldetenes
Vallromanes,Vallromanes,Vallès Oriental,https://www.vallromanes.cat,vallromanes@diba.cat; vallromanes@vallromanes.cat,4,61,vallromanes
Sant Hipòlit de Voltregà,Sant Hipòlit de Voltregà,Osona,https://www.santhipolitdevoltrega.cat,,2,59,sant-hipolit-de-voltrega
Tordera,Tordera,Maresme,https://www.tordera.cat,tordera@tordera.cat,5,58,tordera
Vilalba Sasserra,Vilalba Sasserra,Vallès Oriental,https://www.vilalbasasserra.cat,,2,55,vilalba-sasserra
On: Biblioteca Central Xavier Amorós,Reus,Baix Camp,https://www.reus.cat,ajuntament@reus.cat,12,47,reus
Sant Andreu de Llavaneres,Sant Andreu de Llavaneres,Maresme,http://ajllavaneres.cat,,3,43,sant-andreu-de-llavaneres
Vilanova i la Geltrú,Vilanova i la Geltrú,Garraf,https://www.ccgarraf.cat,,4,41,vilanova-i-la-geltru
Sant Climent de Llobregat,Sant Climent de Llobregat,Baix Llobregat,https://www.santclimentdellobregat.cat,,5,40,sant-climent-de-llobregat
Sant Martí de Tous,Sant Martí de Tous,Anoia,https://www.tous.cat,,2,34,sant-marti-de-tous
Santa Perpètua de Mogoda,Santa Perpètua de Mogoda,Vallès Occidental,https://bibliotecavirtual.diba.cat,,2,26,santa-perpetua-de-mogoda
Teatre de la Llotja,Lleida,Segrià,https://www.turismedelleida.cat,infoturisme@paeria.cat,6,23,lleida
Sant Llorenç Savall,Sant Llorenç Savall,Vallès Occidental,https://www.savall.cat,,1,23,sant-llorenc-savall
Puigdàlber,Puigdàlber,Alt Penedès,https://www.puigdalber.cat,,1,22,puigdalber
Oristà,Oristà,Lluçanès,https://www.orista.cat,,1,20,orista
Alpens,Alpens,Lluçanès,https://www.alpens.cat,alpens@diba.cat,10,19,alpens
Figaró-Montmany,Figaró-Montmany,Vallès Oriental,https://www.figaro-montmany.cat,,2,19,figaro-montmany
Lluçà,Lluçà,Lluçanès,https://www.lluca.cat,tramits@diba.cat,2,17,lluca
Borredà,Borredà,Berguedà,https://www.borreda.cat,,1,15,borreda
Tordera,Tordera,Maresme,https://www.teatreclave.cat,clave@teatreclave.cat,1,15,tordera
Cercs,Cercs,Berguedà,https://www.cercs.cat,,1,12,cercs
Santa Perpètua de Mogoda,Santa Perpètua de Mogoda,Vallès Occidental,https://www.efimeraspm.cat,,1,8,santa-perpetua-de-mogoda
Tordera,Tordera,Maresme,https://www.bancsang.net,,1,3,tordera
Vilanova de Sau,Vilanova de Sau,Osona,https://www.vilanovadesau.cat,vilanovas@vilanovadesau.cat,1,3,vilanova-de-sau
El Palau d'Anglesola,El Palau d'Anglesola,Pla d'Urgell,https://www.ajhortons.cat,,1,2,el-palau-d-anglesola
Riudarenes,Riudarenes,La Selva,https://ajuntamentderiudarenes.cat,info@ajuntamentderiudarenes.cat,2,1,riudarenes
