Business Name,Category,Email,Town,Region,Council Website,City Slug (for targeting)
Arxiu Municipal,"El Servei d&rsquo;Arxiu Municipal (SAM) de Calldetenes, amb el suport de la Xarxa d&rsquo;Arxius Municipals de la Diputaci&oacute; de Barcelona, s&#39;encarrega de la gesti&oacute;, el tractament, l&#39;organitzaci&oacute;, la conservaci&oacute; i la difusi&oacute; de tota la documentaci&oacute; que genera l&#39;Ajuntament en l&#39;exercici de les seves funcions i compet&egrave;ncies.",calldetenes@diba.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Assemblea Nacional Catalana - Calldetenes,,calldetenes@assemblea.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Associació de Comerciants i Serveis de Calldetenes,,aciscalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Atenció al Ciutadà OAC,,calldetenes@calldetenes.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Auditori Teatre Calldetenes,"L&rsquo;Auditori Teatre de Calldetenes, constru&iuml;t a la pla&ccedil;a Onze de Setembre al costat de l&rsquo;Ajuntament, va ser inaugurat el 22 de setembre de 2007 amb la pres&egrave;ncia al conseller de Cultura de la Generalitat, Josep Manuel Tresserras.",info@teatrecalldetenes.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Aula de Música de Calldetenes,L&rsquo;Aula de M&uacute;sica de Calldetenes forma part de la Xarxa de l&rsquo;Escola de M&uacute;sica de M&uacute;sica i Conservatori de Vic.,emvic@emvic.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Bibliobús,"El Bibliob&uacute;s Guilleries, inaugurat el 1997, &eacute;s un dels 9 bibliobusos de la Xarxa de Biblioteques Municipals de la Diputaci&oacute; de Barcelona. T&eacute; com a biblioteca de suport la Biblioteca &ldquo;Joan Triad&uacute;&rdquo; de Vic.",b.guilleries@diba.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
CARNISSERIES XARCUTERIA SABORIT,Carnisseria i xarcuteria.&nbsp;,info@carnisseriasaborit.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
CF Athletic Riudeperes,,cfat.riudeperes@hotmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
"COMERMA TORRAS, MARIA DOLORS",Despatx professional d&#39;assessorament empresarial.&nbsp;,dolorscomerma@economistes.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Can Jubany,Horari: de dimarts a dissabte de 13:15 a 15:30 i de 20:30 a 22h.,info@canjubany.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Casal de la Gent Gran,,c.calldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Club Excursionista Calldetenes,,correu@cecalldetenes.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Club Patinatge Artístic Osonenc,"El Club patinatge Art&iacute;stic Osonenc es va fundar en l&#39;any 2018, i amb l&#39;actualitat &eacute;s un club federat que les patinadores participen a tornejos, opens federatius, i en festivals de diferents&nbsp; clubs.",clubpatinatgeosonenc@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Club Patí Calldetenes,,clubpaticalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Club Volei Callldetenes,,cvcalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Club d'Escacs Calldetenes,,mverdaguer@hotmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Club de Lectura de Calldetenes,,cdlcalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Consultori local (CAP),"Pertany a l&rsquo;&Agrave;rea B&agrave;sica de Salut de Santa Eug&egrave;nia de Berga, &eacute;s el consultori local on podeu trobar el vostre equip sanitari que us atendr&agrave; sempre que ho necessiteu. Cal concertar hora de visita pr&egrave;viament sempre que sigui possible.",eapstaeugenia.cc.ics@gencat.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
CrearIAM,"Espai de creaci&oacute; lliure on es duen tallers d&#39;educaci&oacute; creadora i creaci&oacute; lliure a les tardes. Tamb&eacute; tallers puntuals de macram&eacute;, llanes, fofutxes i casals d&#39;estiu.&nbsp;",creariam369@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
El Punt Jove,,puntcall@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Escamot dels Diables,,escamotdelsdiables@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Escola Bressol Municipal L'Esquitx,"L&rsquo;Escola Bressol Municipal l&rsquo;Esquitx de Calldetenes imparteix el primer cicle d&rsquo;Educaci&oacute; Infantil, de car&agrave;cter no obligatori, adre&ccedil;at a infants d&rsquo;edats compreses entre els 4 mesos i els 3 anys d&rsquo;edat.&nbsp;",a8059068@xtec.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Escola Sant Marc,,ceipsantmarc@xtec.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Escola d'Escacs d'Osona,,escola.escacs.osona@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Esplai Equinocci,,esplaiequinocci@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
F.C Calldetenes,,fccalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
"FERRETERIA EUMAN, S.L.","Ferreteria, jardineria, bricolatge, eines, pintures, maquin&agrave;ria, parament, drogueria, servei de reparaci&oacute; propi, lloguer de m&agrave;quinaria.&nbsp;",info@ferreteriaeuman.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
GACO - Grup d'Anellament Calldetenes - Osona,,gaco@gaco.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Gegants Calldetenes,,gegantscalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Institut Les Margues,,a8063837@xtec.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
J i A RAURELL SL.,Construccions i promocions,raurell@terra.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Joves Alternatius de Calldetenes (JAC),,jaccalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
L'Espardenya Teatre,,espardenyatcalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
L'Espiga,,espiga.call@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
LA RUTLLA LLEURE,Una mirada conscient al lleure educatiu.,cris.boixeda@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
LLIBRERIA EL CLIP,"Llibreria, papereria, diaris, joguines, articles de rebal, fotoc&ograve;pies i molt m&eacute;s.&nbsp;",nuria.nafa68@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
"La Pera, Assemblea de Joves de Calldetenes",,laperacalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Les Veus de Calldetenes,,lesveusdecalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
"M.Dolors Rovira, arquitecta de capçalera",,dolorovira@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
MARCS OSONA,,marcs-osona@terra.es,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
OBRES I PAVIMENTS BOU,,info@bou-sl.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
PEIXATERIA MARIA DOLORS,"Venta al detall de peix i marisc fresc comprat directament a la Confraria de Palam&oacute;s i altres productes de la pesca com ara productes congelats. A m&eacute;s, d&#39;un assortiment variat de productes alimentaris.",peixateriacalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
"Pavelló municipal poliesportiu ""El Torrental""",,cdtn.pavello@calldetenes.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
SAMDANCE- SamFit Club,Nutrici&oacute; i esport.,info@samdance.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
SPAR,Supermercat.,valvi@valvi.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Santi Fortet construcció,,santifortet@gmx.es,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
TRIALSPORT,Escola de trial i venda de material de trial.&nbsp;,info@trialsport.es,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
Asociación de Baile El Compás,,trinibaila@hotmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Subministrament d'aigua de boca,,oficinavirtual@aigues.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Fusteria Jordi Cuch Tobias,,jordicuch@hotmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Festa de les Maduixes,,jovesalcemcanoves@hotmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Bissual,,jordi.llopis@bissual.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Taller Les Pungoles,,tallerslespungoles@hotmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Tribana Horses,,info@tribanahorses.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Castell de Cànoves,,grauoj@diba.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Integradora social,,cnsm.serveissocials@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Camins per la Igualtat,Associaci&oacute; sense &agrave;nim de lucre inscrita al Registre d&#39;associacions de la Generalitat de Catalunya amb el n&uacute;mero&nbsp;64658 - J / 1.,caminsperlaigualtat@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Colla de Diables de Cànoves,,diablesdecanoves@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació Gats Cànoves,,gatscanoves@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació Esportiva Triescicling,"Entitat al servei de l&#39;esport: Cronometratge de curses, plataforma d&#39;inscripcions, app&#39;s de seguiment online de corredors, tot el que es necesita&nbsp;pels events.",info@triescicling.es,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Escola Bressol La Petita Estelada,,ruizsnr@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Vigilants municipals,,cnsm.gm@diba.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Secretaria / intervenció,,serrasof@diba.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Tècnica Joventut,,lopezng@diba.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Casal de gent gran El Galliner (edifici polivalent),,cnsm.gentgran@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Dinamitzadora de la Gent Gran,,casalgalliner@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Centre Cívic Xavier Flaquer i Juvany de Samalús,,grauoj@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Enginyer,,alabaucj@vallesoriental.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Escola l'Estelada,El nom de l&#39;escola el van escollir els alumnes de l&#39;escola d&#39;aquell moment mitjan&ccedil;ant votaci&oacute; popular.&nbsp; &nbsp;El&nbsp;nom fa refer&egrave;ncia a les boniques estelades que hi ha al municipi per la nit.&nbsp;,a8015375@xtec.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Oficina d'Atenció a la Ciutadania,,cnsm.oac@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació Cultural Xavier Flaquer Juvany,,ccandelich@yahoo.es,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Arquitecte municipal,,cnsm.serveistecnics@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Veïns Cànoves Residencial - Can Casademunt,,elifarres@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Veïns i Propietaris de Can Volart,,acanvolart@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Veïns La Cervera de Cànoves,,rvallesf@gencat.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació El Suí de Festes i Tradicions,Associaci&oacute; sense &agrave;nim de lucre inscrita al Registre d&#39;associacions de la Generalitat de Catalunya amb el n&uacute;mero&nbsp;2737 de la secci&oacute; 1a del Registre de Barcelona.,info@elsui.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Turisme rural Les Oliveres,,info@lesoliveres.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Club de Futbol de Cànoves,,cfcanoves@hotmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Societat de Caçadors Cardedeu-Cànoves,,vicens@vicensmanent.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Restaurant Can Garriga,,info@restaurantcangarriga.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Comunitat de Regants de la Riera de Vallforners,,mpou@omninaya.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
JAC (Joves Alcem Cànoves),,jacjovesalcemcanoves@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació Esportiva Triescicling,"L&#39;Associaci&oacute; Esportiva Triescicling es una entitat esportiva, de car&agrave;cter Ciclista, i &eacute;s la encarregada d&#39;Organitzar el Trail de Vallforners.",triescicling@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació Protectora d'Animals de Cànoves Propinscher-Rater,,apacpropinscher@hotmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Coto de Caça Sant Andreu de Samalús,,mrcrtd@telefonica.net,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de les Bastoneres de Cànoves,,bastoneresdecanoves@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Consell del Poble de Samalús,,cuchcj@diba.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
ADF Montseny-Congost,,cuchjosep@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Asociación de Amigos del Mirador del Montseny,,manololopezrapo@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Pista poliesportiva JM Jiménez Tortosa,,parrammr@canovesisamalus.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Camp municipal de futbol de Samalús,,parrammr@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Petanca de Can Volart,,charovestuario@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Petanca del Mirador del Montseny,,marcial.jimenez.salido@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
CAP Cànoves,,canoves.mn.ics@gencat.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Veïns de Ca l'Esmandia,,avcalesmandia@hotmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Veïns i Propietaris de Samalús,,apvs.samalus@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Jardinería del Vallés,,info@jardineriadelvalles.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Consultori Veterinari de Cànoves Vetovallès,,vetovallesveterinaria@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Hortus,Granja Escola i Horts de lloguer a Samal&uacute;s. Visites per fam&iacute;lies amb reserva pr&egrave;via.,info@hortus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus
Associació de Diables Els Cremats de la Múnia,,diableselscrematslamunia@gmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca
Ball de Gitanes,,mrafols@torres.es,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca
Ball de Pastorets,,balldepastoretsdelamunia@hotmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca
Bastons La Múnia,,bastonslamunia@hotmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca
Bibliobus Castellot,,b.castellot@diba.cat,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca
Bolet Casa Modernista,,reservas@boletcasamodernista.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca
Botes Arnabat,,info@botesarnabat.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca
